title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
"crow: city of angels, the (1996)",1.9487179487179487,39,My Left Foot (1989),Mr. Smith Goes to Washington (1939),Lawrence of Arabia (1962),Being There (1979)
crows and sparrows (1949),1.5,2,Heat (1995),"Postino, Il (1994)","Full Monty, The (1997)",Mr. Holland's Opus (1995)
"crucible, the (1996)",3.3376623376623376,77,Mr. Smith Goes to Washington (1939),"Graduate, The (1967)",Cop Land (1997),Hoop Dreams (1994)
"crude oasis, the (1995)",1.0,1,-,-,-,-
crumb (1994),3.7901234567901234,81,As Good As It Gets (1997),"Good, The Bad and The Ugly, The (1966)","Ice Storm, The (1997)",GoodFellas (1990)
"cry, the beloved country (1995)",3.75,24,Interview with the Vampire (1994),Outbreak (1995),Henry V (1989),G.I. Jane (1997)
"crying game, the (1992)",3.6218487394957983,119,Emma (1996),William Shakespeare's Romeo and Juliet (1996),"People vs. Larry Flynt, The (1996)",Pinocchio (1940)
curdled (1996),2.75,8,Dante's Peak (1997),Cold Comfort Farm (1995),Stargate (1994),Ulee's Gold (1997)
"cure, the (1995)",3.3333333333333335,6,Courage Under Fire (1996),Rear Window (1954),Nikita (La Femme Nikita) (1990),Natural Born Killers (1994)
cutthroat island (1995),2.4444444444444446,18,"Room with a View, A (1986)","Killing Fields, The (1984)",Amistad (1997),On Golden Pond (1981)
cyclo (1995),3.0,1,-,-,-,-
cyrano de bergerac (1990),3.8181818181818183,66,Ulee's Gold (1997),Everyone Says I Love You (1996),"Wrong Trousers, The (1993)",Hoop Dreams (1994)
"cérémonie, la (1995)",4.0,3,-,-,-,-
d3: the mighty ducks (1996),2.5789473684210527,19,Strictly Ballroom (1992),In & Out (1997),Seven Years in Tibet (1997),"Great Escape, The (1963)"
dadetown (1995),3.0,1,-,-,-,-
daens (1992),1.0,1,-,-,-,-
"damsel in distress, a (1937)",4.0,1,-,-,-,-
dances with wolves (1990),3.79296875,256,Amistad (1997),"Rainmaker, The (1997)","Last of the Mohicans, The (1992)",Outbreak (1995)
dangerous beauty (1998),3.769230769230769,13,Fried Green Tomatoes (1991),Dave (1993),Stand by Me (1986),In the Name of the Father (1993)
dangerous ground (1997),1.75,8,Jungle2Jungle (1997),Top Gun (1986),Star Trek IV: The Voyage Home (1986),Field of Dreams (1989)
dangerous minds (1995),3.3404255319148937,47,Everyone Says I Love You (1996),"Time to Kill, A (1996)",Grumpier Old Men (1995),Emma (1996)
daniel defoe's robinson crusoe (1996),3.0,2,"Firm, The (1993)","Shawshank Redemption, The (1994)",Conan the Barbarian (1981),It's a Wonderful Life (1946)
dante's peak (1997),2.933333333333333,240,"Craft, The (1996)",Volcano (1997),"Peacemaker, The (1997)",Jungle2Jungle (1997)
dark city (1998),3.5,16,"Hunt for Red October, The (1990)",Mystery Science Theater 3000: The Movie (1996),Maverick (1994),"Mask, The (1994)"
dave (1993),3.65,180,"American President, The (1995)",Donnie Brasco (1997),G.I. Jane (1997),In the Line of Fire (1993)
"davy crockett, king of the wild frontier (1955)",2.909090909090909,11,Amistad (1997),"Rainmaker, The (1997)",Ulee's Gold (1997),"Ice Storm, The (1997)"
"day the earth stood still, the (1951)",3.9381443298969074,97,Dave (1993),Ghost (1990),Down Periscope (1996),Donnie Brasco (1997)
"day the sun turned cold, the (tianguo niezi) (1994)",2.0,2,L.A. Confidential (1997),Air Force One (1997),Contact (1997),"Long Kiss Goodnight, The (1996)"
daylight (1996),2.7719298245614037,57,"Maltese Falcon, The (1941)",In the Name of the Father (1993),Ulee's Gold (1997),Young Guns (1988)
days of thunder (1990),2.7169811320754715,53,Kingpin (1996),Seven Years in Tibet (1997),"Wrong Trousers, The (1993)",Lost Highway (1997)
"daytrippers, the (1996)",3.6666666666666665,15,Young Guns (1988),Happy Gilmore (1996),Ghost (1990),"Net, The (1995)"
dazed and confused (1993),3.46875,64,Ulee's Gold (1997),On Golden Pond (1981),G.I. Jane (1997),"Room with a View, A (1986)"
dead man (1995),3.823529411764706,34,Bonnie and Clyde (1967),Rosewood (1997),"Peacemaker, The (1997)",Dante's Peak (1997)
dead man walking (1995),3.8963210702341136,299,Pink Floyd - The Wall (1982),Boogie Nights (1997),Wag the Dog (1997),Chinatown (1974)
dead poets society (1989),3.9163346613545817,251,Sleepless in Seattle (1993),Pretty Woman (1990),William Shakespeare's Romeo and Juliet (1996),Real Genius (1985)
dead presidents (1995),2.7222222222222223,18,George of the Jungle (1997),101 Dalmatians (1996),Cinema Paradiso (1988),Lost Highway (1997)
dear god (1996),2.5,12,"Bridge on the River Kwai, The (1957)",Cop Land (1997),Jackie Chan's First Strike (1996),M*A*S*H (1970)
death and the maiden (1994),3.4285714285714284,28,"Wrong Trousers, The (1993)",Bram Stoker's Dracula (1992),"Rainmaker, The (1997)",Rosewood (1997)
death in brunswick (1991),4.0,1,-,-,-,-
"death in the garden (mort en ce jardin, la) (1956)",1.0,1,-,-,-,-
deceiver (1997),2.8275862068965516,29,Con Air (1997),Scream 2 (1997),"Ice Storm, The (1997)",Down Periscope (1996)
deconstructing harry (1997),3.4,65,My Left Foot (1989),"Cable Guy, The (1996)",This Is Spinal Tap (1984),Mighty Aphrodite (1995)
deep rising (1998),2.4285714285714284,14,2001: A Space Odyssey (1968),Big Night (1996),Butch Cassidy and the Sundance Kid (1969),Hoop Dreams (1994)
"deer hunter, the (1978)",3.8333333333333335,120,Cop Land (1997),Fly Away Home (1996),Kolya (1996),"Long Kiss Goodnight, The (1996)"
delicatessen (1991),3.876923076923077,65,"Wrong Trousers, The (1993)",Rosewood (1997),Benny & Joon (1993),"Good, The Bad and The Ugly, The (1966)"
delta of venus (1994),3.0,2,Babe (1995),Butch Cassidy and the Sundance Kid (1969),"Deer Hunter, The (1978)","Last of the Mohicans, The (1992)"
demolition man (1993),3.152173913043478,92,Ulee's Gold (1997),Seven Years in Tibet (1997),Alien: Resurrection (1997),G.I. Jane (1997)
denise calls up (1995),3.0,7,"Peacemaker, The (1997)",Brazil (1985),"Crow, The (1994)","Edge, The (1997)"
desert winds (1995),4.0,1,-,-,-,-
"designated mourner, the (1997)",1.8571428571428572,7,2001: A Space Odyssey (1968),"Shawshank Redemption, The (1994)","Hudsucker Proxy, The (1994)",Mimic (1997)
desperado (1995),3.4536082474226806,97,Being There (1979),Cinema Paradiso (1988),Brazil (1985),Dragonheart (1996)
desperate measures (1998),3.3194444444444446,72,Speed (1994),Basic Instinct (1992),Bound (1996),"Nightmare on Elm Street, A (1984)"
destiny turns on the radio (1995),3.0,2,-,-,-,-
devil in a blue dress (1995),3.3859649122807016,57,"Great Escape, The (1963)",Fly Away Home (1996),Ulee's Gold (1997),Bound (1996)
"devil's advocate, the (1997)",3.515957446808511,188,"Wrong Trousers, The (1993)","Close Shave, A (1995)",Down Periscope (1996),Welcome to the Dollhouse (1995)
"devil's own, the (1997)",3.1083333333333334,240,My Fair Lady (1964),"Peacemaker, The (1997)",Murder at 1600 (1997),Rosewood (1997)
diabolique (1996),2.887323943661972,71,Like Water For Chocolate (Como agua para chocolate) (1992),Alien: Resurrection (1997),"Peacemaker, The (1997)","Magnificent Seven, The (1954)"
dial m for murder (1954),4.0,68,"Game, The (1997)",Kiss the Girls (1997),Good Will Hunting (1997),G.I. Jane (1997)
die hard (1988),3.8724279835390947,243,Die Hard: With a Vengeance (1995),Die Hard 2 (1990),Absolute Power (1997),Nikita (La Femme Nikita) (1990)
die hard 2 (1990),3.355421686746988,166,Die Hard: With a Vengeance (1995),Under Siege (1992),Murder at 1600 (1997),Die Hard (1988)
die hard: with a vengeance (1995),3.2847682119205297,151,Die Hard 2 (1990),Die Hard (1988),Beautiful Girls (1996),Absolute Power (1997)
"die xue shuang xiong (killer, the) (1989)",3.967741935483871,31,"Hunchback of Notre Dame, The (1996)",That Thing You Do! (1996),Some Like It Hot (1959),William Shakespeare's Romeo and Juliet (1996)
dingo (1992),2.4,5,"Sex, Lies, and Videotape (1989)",Cinema Paradiso (1988),Cold Comfort Farm (1995),Strictly Ballroom (1992)
dirty dancing (1987),3.1020408163265305,98,Ghost (1990),Good Will Hunting (1997),Pretty Woman (1990),"First Wives Club, The (1996)"
disclosure (1994),3.0,40,"Remains of the Day, The (1993)",Secrets & Lies (1996),Big Night (1996),Being There (1979)
diva (1981),3.727272727272727,66,"Cable Guy, The (1996)",Tombstone (1993),Clear and Present Danger (1994),Chinatown (1974)
dolores claiborne (1994),3.3417721518987342,79,Seven Years in Tibet (1997),Harold and Maude (1971),Emma (1996),Bound (1996)
don juan demarco (1995),3.5526315789473686,76,Ulee's Gold (1997),True Romance (1993),Star Trek VI: The Undiscovered Country (1991),Real Genius (1985)
don't be a menace to south central while drinking your juice in the hood (1996),2.7714285714285714,35,Patton (1970),Ben-Hur (1959),Arsenic and Old Lace (1944),Much Ado About Nothing (1993)
donnie brasco (1997),3.802721088435374,147,Dumbo (1941),"Adventures of Priscilla, Queen of the Desert, The (1994)","Crow, The (1994)",GoldenEye (1995)
"doom generation, the (1995)",2.7142857142857144,7,Primal Fear (1996),Shine (1996),Leaving Las Vegas (1995),Like Water For Chocolate (Como agua para chocolate) (1992)
"doors, the (1991)",2.9782608695652173,46,Volcano (1997),"Mask, The (1994)",101 Dalmatians (1996),Michael (1996)
double happiness (1994),3.4285714285714284,7,Tombstone (1993),Star Trek: First Contact (1996),Conan the Barbarian (1981),"Craft, The (1996)"
double team (1997),2.230769230769231,13,In the Name of the Father (1993),Ulee's Gold (1997),"Adventures of Priscilla, Queen of the Desert, The (1994)",Apt Pupil (1998)
"double vie de véronique, la (double life of veronique, the) (1991)",3.6818181818181817,22,Volcano (1997),Stargate (1994),Executive Decision (1996),Army of Darkness (1993)
down periscope (1996),2.702970297029703,101,"Ice Storm, The (1997)","Devil's Advocate, The (1997)",Crash (1996),GoldenEye (1995)
down by law (1986),3.7714285714285714,35,Hoop Dreams (1994),One Fine Day (1996),Primal Fear (1996),Mystery Science Theater 3000: The Movie (1996)
dr. strangelove or: how i learned to stop worrying and love the bomb (1963),4.252577319587629,194,"Sex, Lies, and Videotape (1989)",James and the Giant Peach (1996),Natural Born Killers (1994),True Romance (1993)
dracula: dead and loving it (1995),2.28,25,Arsenic and Old Lace (1944),In the Name of the Father (1993),"Room with a View, A (1986)",Platoon (1986)
dragonheart (1996),3.0822784810126582,158,"Ghost and the Darkness, The (1996)",Murder at 1600 (1997),Jungle2Jungle (1997),"Craft, The (1996)"
dream man (1995),1.5,2,Ulee's Gold (1997),"Remains of the Day, The (1993)","Boot, Das (1981)",Bonnie and Clyde (1967)
dream with the fishes (1997),3.142857142857143,7,Philadelphia (1993),Dances with Wolves (1990),Field of Dreams (1989),"First Wives Club, The (1996)"
drop dead fred (1991),2.75,24,"Killing Fields, The (1984)",Absolute Power (1997),Kolya (1996),Michael (1996)
drop zone (1994),2.5483870967741935,31,Murder at 1600 (1997),"Postino, Il (1994)","Room with a View, A (1986)",Crash (1996)
drunks (1995),2.8,5,Cinema Paradiso (1988),Stargate (1994),"Bridge on the River Kwai, The (1957)","Usual Suspects, The (1995)"
duck soup (1933),4.0,93,Ulee's Gold (1997),Rosewood (1997),Stargate (1994),Under Siege (1992)
dumb & dumber (1994),3.0,69,Happy Gilmore (1996),Kolya (1996),Scream 2 (1997),"Hudsucker Proxy, The (1994)"
dumbo (1941),3.4959349593495936,123,Pinocchio (1940),Donnie Brasco (1997),Snow White and the Seven Dwarfs (1937),Rosewood (1997)
dunston checks in (1996),1.8571428571428572,7,Nikita (La Femme Nikita) (1990),North by Northwest (1959),"First Wives Club, The (1996)",Absolute Power (1997)
duoluo tianshi (1995),3.1666666666666665,6,What's Eating Gilbert Grape (1993),Seven Years in Tibet (1997),Searching for Bobby Fischer (1993),Butch Cassidy and the Sundance Kid (1969)
e.t. the extra-terrestrial (1982),3.8333333333333335,300,Some Like It Hot (1959),Pinocchio (1940),"Firm, The (1993)",Ghost (1990)
east of eden (1955),3.864406779661017,59,Star Trek: The Motion Picture (1979),Dante's Peak (1997),Down Periscope (1996),Miracle on 34th Street (1994)
eat drink man woman (1994),4.05,80,True Romance (1993),"Close Shave, A (1995)",Strictly Ballroom (1992),Crimson Tide (1995)
ed (1996),1.3333333333333333,6,Beautiful Girls (1996),Forrest Gump (1994),Chasing Amy (1997),Event Horizon (1997)
ed wood (1994),3.601503759398496,133,"Edge, The (1997)",Sling Blade (1996),"Hunchback of Notre Dame, The (1996)",Raging Bull (1980)
ed's next move (1996),2.6666666666666665,3,Secrets & Lies (1996),Broken Arrow (1996),Field of Dreams (1989),Leaving Las Vegas (1995)
eddie (1996),2.7,40,"Philadelphia Story, The (1940)",Vertigo (1958),Scream 2 (1997),"Boot, Das (1981)"
"edge, the (1997)",3.5398230088495577,113,"Philadelphia Story, The (1940)",Jungle2Jungle (1997),Ace Ventura: Pet Detective (1994),This Is Spinal Tap (1984)
"eighth day, the (1996)",3.0,1,-,-,-,-
emma (1996),3.7175141242937855,177,Sense and Sensibility (1995),Stargate (1994),"Crying Game, The (1992)",Batman Forever (1995)
"empire strikes back, the (1980)",4.206521739130435,368,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Philadelphia Story, The (1940)"
enchanted april (1991),3.9285714285714284,70,Kiss the Girls (1997),"Edge, The (1997)",Tombstone (1993),Jackie Brown (1997)
"endless summer 2, the (1994)",2.5,10,Ulee's Gold (1997),Natural Born Killers (1994),Star Trek: The Motion Picture (1979),Bram Stoker's Dracula (1992)
"enfer, l' (1994)",3.0,4,"Sting, The (1973)","Boot, Das (1981)",Bram Stoker's Dracula (1992),Ben-Hur (1959)
"english patient, the (1996)",3.656964656964657,481,Unforgiven (1992),"Postino, Il (1994)",Schindler's List (1993),"Last of the Mohicans, The (1992)"
"englishman who went up a hill, but came down a mountain, the (1995)",3.375,32,Down Periscope (1996),"Edge, The (1997)","Craft, The (1996)","Ice Storm, The (1997)"
entertaining angels: the dorothy day story (1996),5.0,1,-,-,-,-
eraser (1996),3.150485436893204,206,Down Periscope (1996),Miracle on 34th Street (1994),Multiplicity (1996),Jungle2Jungle (1997)
escape from l.a. (1996),2.4615384615384617,91,Rosewood (1997),"Ice Storm, The (1997)",Vertigo (1958),Little Women (1994)
escape from new york (1981),3.241758241758242,91,Scream 2 (1997),In & Out (1997),Kiss the Girls (1997),Star Trek: Generations (1994)
escape to witch mountain (1975),2.966666666666667,30,Cop Land (1997),Jackie Brown (1997),Cold Comfort Farm (1995),"Ghost and the Darkness, The (1996)"
etz hadomim tafus (under the domin tree) (1994),2.0,1,-,-,-,-
eve's bayou (1997),3.609375,64,Being There (1979),Star Trek: Generations (1994),Conan the Barbarian (1981),Pinocchio (1940)
even cowgirls get the blues (1993),2.0,5,Searching for Bobby Fischer (1993),Bram Stoker's Dracula (1992),Top Gun (1986),What's Eating Gilbert Grape (1993)
"evening star, the (1996)",2.9310344827586206,29,"Nightmare on Elm Street, A (1984)",Patton (1970),"Edge, The (1997)",Arsenic and Old Lace (1944)
event horizon (1997),2.574803149606299,127,"Nightmare on Elm Street, A (1984)",Waterworld (1995),Real Genius (1985),"Long Kiss Goodnight, The (1996)"
everest (1998),4.5,2,"Sound of Music, The (1965)",Grease (1978),Grosse Pointe Blank (1997),Fried Green Tomatoes (1991)
every other weekend (1990),1.0,1,-,-,-,-
everyone says i love you (1996),3.2738095238095237,168,Real Genius (1985),"Abyss, The (1989)",Butch Cassidy and the Sundance Kid (1969),Star Trek: Generations (1994)
evil dead ii (1987),3.5168539325842696,89,"Peacemaker, The (1997)",Army of Darkness (1993),Rumble in the Bronx (1995),Mother (1996)
evita (1996),2.9806949806949805,259,Waterworld (1995),"Mask, The (1994)",Grease (1978),Ace Ventura: Pet Detective (1994)
excess baggage (1997),2.5384615384615383,52,Star Trek: Generations (1994),"Remains of the Day, The (1993)","Crow, The (1994)","Room with a View, A (1986)"
executive decision (1996),3.356687898089172,157,Rosewood (1997),Jungle2Jungle (1997),Dante's Peak (1997),Pinocchio (1940)
exit to eden (1994),2.75,16,Kolya (1996),Ulee's Gold (1997),G.I. Jane (1997),"Good, The Bad and The Ugly, The (1966)"
exotica (1994),3.5555555555555554,27,"Remains of the Day, The (1993)","Wrong Trousers, The (1993)","Sex, Lies, and Videotape (1989)",Being There (1979)
extreme measures (1996),3.171875,64,"Blues Brothers, The (1980)","American President, The (1995)",Cool Hand Luke (1967),Dave (1993)
eye for an eye (1996),3.03125,32,Stargate (1994),Henry V (1989),Searching for Bobby Fischer (1993),"African Queen, The (1951)"
"eye of vichy, the (oeil de vichy, l') (1993)",1.0,1,-,-,-,-
face/off (1997),3.768041237113402,194,"American President, The (1995)","Rock, The (1996)",Dave (1993),"Nutty Professor, The (1996)"
faces (1968),3.0,4,Speed (1994),Indiana Jones and the Last Crusade (1989),Kingpin (1996),Mars Attacks! (1996)
fair game (1995),2.1818181818181817,11,"Sex, Lies, and Videotape (1989)",Bonnie and Clyde (1967),Lawrence of Arabia (1962),Ransom (1996)
fairytale: a true story (1997),2.966666666666667,30,Little Women (1994),Dumbo (1941),Under Siege (1992),Fried Green Tomatoes (1991)
faithful (1996),3.3,10,Bonnie and Clyde (1967),2001: A Space Odyssey (1968),"Hudsucker Proxy, The (1994)",Harold and Maude (1971)
fall (1997),2.0,3,"Saint, The (1997)",Rosewood (1997),Murder at 1600 (1997),Fly Away Home (1996)
fallen (1998),3.1463414634146343,41,"African Queen, The (1951)","Killing Fields, The (1984)",Citizen Kane (1941),Much Ado About Nothing (1993)
falling in love again (1980),1.0,2,-,-,-,-
"family thing, a (1996)",3.5555555555555554,45,Platoon (1986),"Close Shave, A (1995)",Vertigo (1958),Ulee's Gold (1997)
"fan, the (1996)",3.09375,64,"Manchurian Candidate, The (1962)",Like Water For Chocolate (Como agua para chocolate) (1992),Fly Away Home (1996),Little Women (1994)
fantasia (1940),3.7701149425287355,174,Rosewood (1997),Secrets & Lies (1996),M*A*S*H (1970),Kiss the Girls (1997)
far from home: the adventures of yellow dog (1995),3.2857142857142856,7,"Good, The Bad and The Ugly, The (1966)","Bridge on the River Kwai, The (1957)",Strictly Ballroom (1992),Clerks (1994)
farewell my concubine (1993),3.9782608695652173,46,Waterworld (1995),"Manchurian Candidate, The (1962)",Gattaca (1997),Clueless (1995)
"farewell to arms, a (1932)",3.8333333333333335,12,Cape Fear (1991),Sneakers (1992),"Saint, The (1997)","Manchurian Candidate, The (1962)"
fargo (1996),4.155511811023622,508,Sling Blade (1996),Lone Star (1996),Quiz Show (1994),Lawrence of Arabia (1962)
farinelli: il castrato (1994),3.1176470588235294,17,Seven Years in Tibet (1997),Everyone Says I Love You (1996),Down Periscope (1996),Mother (1996)
farmer & chase (1995),4.0,1,-,-,-,-
"fast, cheap & out of control (1997)",3.4375,32,Grumpier Old Men (1995),"Sex, Lies, and Videotape (1989)",Mr. Smith Goes to Washington (1939),Outbreak (1995)
faster pussycat! kill! kill! (1965),3.0,7,Butch Cassidy and the Sundance Kid (1969),Gandhi (1982),Lawrence of Arabia (1962),Air Force One (1997)
fatal instinct (1993),2.6315789473684212,19,Everyone Says I Love You (1996),Bound (1996),"Remains of the Day, The (1993)","Hunchback of Notre Dame, The (1996)"
father of the bride (1950),3.5833333333333335,60,Tomorrow Never Dies (1997),Jackie Brown (1997),Gattaca (1997),Rosewood (1997)
father of the bride part ii (1995),2.8984375,128,"Ice Storm, The (1997)",While You Were Sleeping (1995),Scream 2 (1997),Grumpier Old Men (1995)
fathers' day (1997),2.5806451612903225,31,Sabrina (1995),Henry V (1989),Absolute Power (1997),Fly Away Home (1996)
faust (1994),4.2,5,"Close Shave, A (1995)",Jackie Chan's First Strike (1996),Fly Away Home (1996),Lost Highway (1997)
fausto (1993),3.0,3,Kingpin (1996),Chinatown (1974),Get Shorty (1995),Conan the Barbarian (1981)
"favor, the (1994)",2.0,1,-,-,-,-
fear (1996),3.159090909090909,44,Cinema Paradiso (1988),Henry V (1989),Beautiful Girls (1996),Singin' in the Rain (1952)
fear of a black hat (1993),3.2,10,Natural Born Killers (1994),Kiss the Girls (1997),Twister (1996),Leaving Las Vegas (1995)
"fear, the (1995)",3.0,1,-,-,-,-
fearless (1993),3.24,25,"Ice Storm, The (1997)","Lost World: Jurassic Park, The (1997)",Cold Comfort Farm (1995),Alien: Resurrection (1997)
feast of july (1995),2.4,5,Bram Stoker's Dracula (1992),Bonnie and Clyde (1967),"English Patient, The (1996)","First Wives Club, The (1996)"
feeling minnesota (1996),2.625,32,Butch Cassidy and the Sundance Kid (1969),Jungle2Jungle (1997),Tombstone (1993),Ben-Hur (1959)
female perversions (1996),2.625,8,Mystery Science Theater 3000: The Movie (1996),Benny & Joon (1993),"Nightmare Before Christmas, The (1993)","Fifth Element, The (1997)"
field of dreams (1989),3.69811320754717,212,"Lost World: Jurassic Park, The (1997)",Back to the Future (1985),Forrest Gump (1994),It's a Wonderful Life (1946)
fierce creatures (1997),3.1145833333333335,96,Rosewood (1997),"Mask, The (1994)",Ghost (1990),G.I. Jane (1997)
"fifth element, the (1997)",3.4771573604060912,197,Brazil (1985),"Hudsucker Proxy, The (1994)",Beavis and Butt-head Do America (1996),Nikita (La Femme Nikita) (1990)
"fille seule, la (a single girl) (1995)",4.0,4,Reservoir Dogs (1992),Fly Away Home (1996),"Wizard of Oz, The (1939)","Game, The (1997)"
fire down below (1997),2.9318181818181817,44,"Killing Fields, The (1984)","African Queen, The (1951)",Cool Hand Luke (1967),"Ghost and the Darkness, The (1996)"
fire on the mountain (1996),3.0,1,-,-,-,-
firestorm (1998),2.8333333333333335,18,Absolute Power (1997),True Romance (1993),Rumble in the Bronx (1995),Batman (1989)
"firm, the (1993)",3.2781456953642385,151,True Lies (1994),"Ghost and the Darkness, The (1996)",Pretty Woman (1990),"American President, The (1995)"
first kid (1996),2.925,40,Patton (1970),Cop Land (1997),"Devil's Advocate, The (1997)","Close Shave, A (1995)"
first knight (1995),3.0232558139534884,86,Grumpier Old Men (1995),Kolya (1996),Down Periscope (1996),Michael (1996)
"first wives club, the (1996)",3.01875,160,Young Guns (1988),Little Women (1994),Arsenic and Old Lace (1944),"Manchurian Candidate, The (1962)"
"fish called wanda, a (1988)",3.785425101214575,247,"Philadelphia Story, The (1940)","Abyss, The (1989)",Rosewood (1997),Young Guns (1988)
fled (1996),2.6470588235294117,34,"African Queen, The (1951)","Deer Hunter, The (1978)",Secrets & Lies (1996),Rosewood (1997)
flesh and bone (1993),2.8333333333333335,6,Crash (1996),Lone Star (1996),Stargate (1994),GoldenEye (1995)
"flintstones, the (1994)",2.064516129032258,31,Spawn (1997),Singin' in the Rain (1952),"Hunchback of Notre Dame, The (1996)",Cold Comfort Farm (1995)
flipper (1996),2.45,20,Donnie Brasco (1997),"Boot, Das (1981)","Crying Game, The (1992)","Adventures of Priscilla, Queen of the Desert, The (1994)"
flirt (1995),3.6,5,Cold Comfort Farm (1995),Big Night (1996),"Professional, The (1994)","Devil's Advocate, The (1997)"
flirting with disaster (1996),3.6904761904761907,42,Cold Comfort Farm (1995),As Good As It Gets (1997),One Fine Day (1996),"Deer Hunter, The (1978)"
"flower of my secret, the (flor de mi secreto, la) (1995)",3.1666666666666665,6,"Edge, The (1997)",Father of the Bride Part II (1995),"Long Kiss Goodnight, The (1996)",Miracle on 34th Street (1994)
flubber (1997),2.7547169811320753,53,Mimic (1997),Lawrence of Arabia (1962),Stargate (1994),101 Dalmatians (1996)
fluke (1995),2.4285714285714284,14,Emma (1996),"Rainmaker, The (1997)",Event Horizon (1997),Good Will Hunting (1997)
fly away home (1996),3.6,180,Little Women (1994),Benny & Joon (1993),Ghost (1990),"Ghost and the Darkness, The (1996)"
"fog, the (1980)",2.739130434782609,23,Boogie Nights (1997),Kiss the Girls (1997),Alien: Resurrection (1997),Happy Gilmore (1996)
fools rush in (1997),3.0,24,Cool Hand Luke (1967),Alien: Resurrection (1997),101 Dalmatians (1996),Spawn (1997)
for ever mozart (1996),2.0,3,In & Out (1997),Volcano (1997),Ulee's Gold (1997),Titanic (1997)
for love or money (1993),2.8333333333333335,12,Like Water For Chocolate (Como agua para chocolate) (1992),My Left Foot (1989),Jungle2Jungle (1997),"Magnificent Seven, The (1954)"
for richer or poorer (1997),2.4285714285714284,14,Fantasia (1940),Beavis and Butt-head Do America (1996),Absolute Power (1997),"Maltese Falcon, The (1941)"
for whom the bell tolls (1943),4.0,20,Wag the Dog (1997),Beautiful Girls (1996),Spawn (1997),Mystery Science Theater 3000: The Movie (1996)
for the moment (1994),2.6666666666666665,3,"Saint, The (1997)",Father of the Bride Part II (1995),Chasing Amy (1997),"Time to Kill, A (1996)"
"forbidden christ, the (cristo proibito, il) (1950)",2.75,4,Dances with Wolves (1990),Fly Away Home (1996),"Usual Suspects, The (1995)",Lost Highway (1997)
forbidden planet (1956),3.8358208955223883,67,Scream 2 (1997),"Devil's Own, The (1997)",Clerks (1994),Conspiracy Theory (1997)
foreign correspondent (1940),3.8666666666666667,15,"Nightmare on Elm Street, A (1984)",Star Trek: Generations (1994),Sleepers (1996),Seven Years in Tibet (1997)
foreign student (1994),2.0,2,-,-,-,-
forget paris (1995),3.193548387096774,62,Kiss the Girls (1997),"Peacemaker, The (1997)",Jackie Brown (1997),Apt Pupil (1998)
forrest gump (1994),3.853582554517134,321,Field of Dreams (1989),"Firm, The (1993)","River Wild, The (1994)",Young Guns (1988)
four days in september (1997),3.75,12,Hoop Dreams (1994),Much Ado About Nothing (1993),Bonnie and Clyde (1967),Blade Runner (1982)
four rooms (1995),3.033333333333333,90,Seven Years in Tibet (1997),G.I. Jane (1997),In the Name of the Father (1993),Interview with the Vampire (1994)
four weddings and a funeral (1994),3.6613545816733066,251,Seven Years in Tibet (1997),Amistad (1997),"Boot, Das (1981)","Nightmare on Elm Street, A (1984)"
"fox and the hound, the (1981)",3.1475409836065573,61,Kiss the Girls (1997),Donnie Brasco (1997),Shine (1996),Miracle on 34th Street (1994)
foxfire (1996),2.933333333333333,15,Lone Star (1996),"Hudsucker Proxy, The (1994)","Game, The (1997)",True Romance (1993)
frankie starlight (1995),2.5,4,Mother (1996),Vertigo (1958),Chinatown (1974),"Princess Bride, The (1987)"
free willy (1993),2.4545454545454546,33,Seven Years in Tibet (1997),"Philadelphia Story, The (1940)","Adventures of Priscilla, Queen of the Desert, The (1994)","Edge, The (1997)"
free willy 2: the adventure home (1995),2.1818181818181817,11,Tin Cup (1996),G.I. Jane (1997),Good Will Hunting (1997),In & Out (1997)
free willy 3: the rescue (1997),1.7407407407407407,27,Waterworld (1995),"Sex, Lies, and Videotape (1989)",Arsenic and Old Lace (1944),"Philadelphia Story, The (1940)"
freeway (1996),3.357142857142857,42,North by Northwest (1959),Patton (1970),"Peacemaker, The (1997)",Father of the Bride Part II (1995)
french kiss (1995),3.3333333333333335,84,G.I. Jane (1997),Rosewood (1997),Absolute Power (1997),"Ghost and the Darkness, The (1996)"
french twist (gazon maudit) (1995),3.2051282051282053,39,Ben-Hur (1959),Tombstone (1993),Tomorrow Never Dies (1997),Die Hard: With a Vengeance (1995)
fresh (1994),4.1,10,Natural Born Killers (1994),Mars Attacks! (1996),Taxi Driver (1976),Bound (1996)
friday (1995),3.4615384615384617,26,Gone with the Wind (1939),James and the Giant Peach (1996),Cold Comfort Farm (1995),Down Periscope (1996)
fried green tomatoes (1991),3.764705882352941,153,Amistad (1997),Cinema Paradiso (1988),Jackie Brown (1997),Rosewood (1997)
"frighteners, the (1996)",3.234782608695652,115,Amistad (1997),Young Guns (1988),Seven Years in Tibet (1997),Gattaca (1997)
frisk (1995),2.6666666666666665,3,Mrs. Doubtfire (1993),Seven (Se7en) (1995),Courage Under Fire (1996),Schindler's List (1993)
